status,seed,seed_slug,domain,elicitation_strategy,ner_strategy,model,out_dir,profile,max_depth,max_subjects,max_facts_hint,ner_batch_size,crawler,python,command,timestamp,batch_mode,effective_concurrency
OK,The Big Bang Theory,The_Big_Bang_Theory,topic,baseline,calibrate,deepseek,runs/AllParallel/topic/deepseek/baseline/det/The_Big_Bang_Theory/20251029_221654,det,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'The Big Bang Theory' --output-dir runs/AllParallel/topic/deepseek/baseline/det/The_Big_Bang_Theory/20251029_221654 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 20 --temperature 0.0 --top-p 1.0 --max-tokens 2000,2025-10-29T22:16:54.762644,False,20
OK,ancient city of Babylon,ancient_city_of_Babylon,topic,baseline,calibrate,deepseek,runs/AllParallel/topic/deepseek/baseline/medium/ancient_city_of_Babylon/20251029_221654,medium,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'ancient city of Babylon' --output-dir runs/AllParallel/topic/deepseek/baseline/medium/ancient_city_of_Babylon/20251029_221654 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 20 --temperature 0.7 --top-p 0.95 --top-k 50 --max-tokens 2000,2025-10-29T22:16:54.762675,False,20
