status,seed,seed_slug,domain,elicitation_strategy,ner_strategy,model,out_dir,profile,max_depth,max_subjects,max_facts_hint,ner_batch_size,crawler,python,command,timestamp,batch_mode,effective_concurrency,net_timeout,net_retries,net_backoff
OK,DAX 40 Index,DAX_40_Index,topic,baseline,calibrate,deepseek,runs/AllParallelTest/topic/deepseek/baseline/wild/DAX_40_Index/20251029_231007,wild,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'DAX 40 Index' --output-dir runs/AllParallelTest/topic/deepseek/baseline/wild/DAX_40_Index/20251029_231007 --domain topic --elicitation-strategy baseline --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 20 --temperature 2.0 --top-p 1.0 --top-k 100 --max-tokens 4096 --http-timeout 60.0 --http-retries 6 --http-backoff 0.5,2025-10-29T23:10:07.767424,False,20,60.0,6,0.5
OK,DAX 40 Index,DAX_40_Index,topic,calibrate,calibrate,deepseek,runs/AllParallelTest/topic/deepseek/calibrate/wild/DAX_40_Index/20251029_231007,wild,1,10,100,50,crawler_batch_concurrency_topic.py,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python,/Users/muhammedsaeed/anaconda3/envs/KB/bin/python crawler_batch_concurrency_topic.py --seed 'DAX 40 Index' --output-dir runs/AllParallelTest/topic/deepseek/calibrate/wild/DAX_40_Index/20251029_231007 --domain topic --elicitation-strategy calibrate --ner-strategy calibrate --elicit-model-key deepseek --ner-model-key deepseek --max-depth 1 --max-facts-hint 100 --max-subjects 10 --ner-batch-size 50 --concurrency 20 --temperature 2.0 --top-p 1.0 --top-k 100 --max-tokens 4096 --http-timeout 60.0 --http-retries 6 --http-backoff 0.5,2025-10-29T23:10:07.767464,False,20,60.0,6,0.5
